pais,media_PIB_total_(dolar_corrente),media_população_total,media_PIB_per_capita,media_taxa_crescimento_PIB,media_taxa_inflação_(CPI),media_expectativa_vida,media_taxa_alfabetização,media_exportacao_abs,media_importacao_abs,media_IDH_estimado,soma_qtde_kg,soma_valor_dolar_ajustado,vl_distinto_produto_texto,vl_distinto_ano
Belize,2258281008.673095,362383.0,5732.020679182829,5.381476234870988,2.58435457139701,71.20275,91.42653369903564,114146566250.0,115849298124.99998,0.6702993369178794,768,2942.3882216047805,3,6
Benin,10842865212.080467,10385658.777777778,965.5378048013465,3.8859635494019438,2.5562297314263804,57.946444444444445,33.23825242784287,249998506925.60513,311080923863.35504,0.39231971174032915,35114,150982.81022761334,3,9
Bermudas,7516633666.666667,64471.555555555555,116571.00742500612,0.4754935329680728,0.0,81.73733333333332,95.0,379115722222.2224,183139211111.11096,0.0,1183,5324.6484501615105,4,6
Birmania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,20.13999156180064,1,1
Bolivia,16399941832.753475,8566379.316666666,1610.7135128283585,3.0547653886510875,239.05236565849557,59.81612500000001,82.59166666666667,492498863718.13495,527930043864.1934,0.510103542240482,2863503,3956752.7364699226,4,53
Bosnia,20354322659.89595,3322441.0,6126.343338769905,-0.06387590172492996,-0.24425692678683503,76.71700000000001,97.0,755740610538.2017,1042620550479.6105,0.7961702087397464,499,654.2908006922819,1,2
Bosnia-Herzegovina,20311560628.068268,3314743.6666666665,6127.666003330473,-1.04761565034949,-0.5132699537361901,76.49133333333334,97.0,734279110322.5555,1018223481504.036,0.7961702087397464,223,323.1948424735009,2,2
Brasil,1882016090559.95,209718267.66666666,8972.073322998689,3.281309296053108,7.2483451209753165,74.5795,93.84500122070308,34384625174036.656,33125351399890.98,0.8173434497134485,2902,2120.0748804333734,2,4
Bulgaria,73556473745.53807,6884428.666666667,10741.54058678803,1.1896555318815265,6.35309869647519,74.11056910569107,98.13999938964844,4768748337557.769,4589658502675.606,0.8176310589309068,222,2259.978540340514,2,3
Burquina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,45.398690432884685,1,1
Cabo Verde,1232924354.665409,470591.93333333335,2497.1974179149615,6.369248375442265,3.1012399034794886,70.25313333333334,77.78487345377606,42174793330.73123,73185363916.2001,0.5756629618855869,46095,129230.4955191947,4,23
Camaroes,37277340892.645905,24180568.111111112,1506.3732821134722,2.10933727684175,2.3866376818662753,60.79822222222222,71.0519044664171,655780528917.1595,761132799148.411,0.5462639754117373,7247,34188.23071426228,4,6
Canada,1024699121239.0024,31064404.721428573,30586.338745162517,2.4496523561301515,3.753198169844445,78.88889721254357,95.0,33085347085722.0,32905253939876.812,0.0,26759184,91062327.6892071,4,51
Catar,181737463130.115,2637605.0714285714,69114.11145820541,0.21914050318243902,0.9062918887555057,81.74992857142857,98.0,11057694270015.697,6574501569858.712,0.9864616870247492,22844,147755.65434038264,4,7
"Cayman, Ilhas",6224853741.914967,69715.125,89146.36730358879,3.3521645533665403,-0.62525835861814,79.51325,99.0,358743684974.74,260242790971.16412,0.9660418286362692,2825,11401.68788250595,4,6
Chile,214692384579.23898,17362247.723404255,11678.52712711329,3.0743993320616116,6.849831806846494,78.15640425531915,95.79319211269947,6972820783015.166,6702708442097.309,0.7819444912959627,480457,1693161.3241784626,4,23
China,11133895977259.434,1360520357.142857,7997.425969071474,7.427962913259182,2.216583226768099,76.34160714285714,93.51785714285714,234914593396304.9,208412586906934.94,0.7566543290648671,5896434,13832201.173745636,4,22
Chipre,28553572107.502087,1299871.7083333333,31909.839111328125,4.9837418879353965,2.6079419944864703,81.06166666666667,99.09666697184247,2489710465049.785,2441682704766.939,0.9302783297756906,21692,67116.37024967476,4,7
"Cocos (Keeling), Ilhas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,123.26539782337568,2,1
Colombia,231299670928.86047,43693530.733333334,4879.404275806705,3.8109611931881626,7.038276603443848,73.1113111111111,94.22222222222223,3859705923534.239,5034692794875.516,0.6847571160919307,366300,1109528.420464549,4,27
Comores,1215032641.70764,796968.0,1524.534561533,0.4565555283107286,-4.29487331536736,65.72466666666666,49.196140289306605,9720257412.782713,34663797064.586685,0.5120319713392855,39,163.5346676565607,2,2
Congo,7616079758.255962,3619824.4444444445,1792.8526232881186,0.5306085284109633,2.8583923629591346,60.104000000000006,70.28124152289497,480479203376.6595,334527346118.7697,0.567226574246073,27529,57707.49316120331,3,7
"Cook, Ilhas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116,863.7457942514326,1,1
Coreia do Norte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,144.23262921591433,1,1
Coreia do Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2008169,5986480.761434751,2,14
"Coreia do Sul, Republica da",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11673,67524.9851930228,2,11
Costa Rica,28918321346.32564,4060390.5,6355.218493680086,4.384782665579009,9.648975213192532,77.8739,95.10400009155273,1007112249552.9363,1059094101555.9543,0.7675330188993911,9433,32665.56389554784,3,10
Costa do Marfim,16446323901.443325,12272575.57142857,1137.0178838469355,1.4634704103185645,6.939956135433275,53.33757142857143,76.85714285714286,469866245901.43134,463418593614.828,0.2013467955328893,6957,18766.332433558455,3,7
Croacia,68620768295.86668,3879726.8333333335,17700.750314971618,2.314472152512002,5.394428812191688,77.51626016260163,98.96666463216145,3526628501911.358,3866488184733.8003,0.8485734505388548,106,865.227055251497,2,4
Cuba,77966953117.02055,11203775.545454545,6937.594415687295,2.2389994545253886,0.0,77.25227272727273,99.78846463290128,1269041144917.6448,1089958066202.5671,0.8005464259419245,274036,407940.0746329734,3,10
Curacao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,239189,518825.11325436796,4,7
Dinamarca,266286072562.42554,5501342.175824176,47577.27083826755,1.8922772903534704,2.570087483314156,78.40312516751543,95.0,14102347922008.266,12559466249787.387,0.0,3305560,10665116.498676583,4,42
Djibuti,3185150981.03207,1105188.0,2881.99924450145,1.31636324158441,1.7774078380617,64.2,95.0,368287934459.0694,341484686671.8072,0.0,25,49.693594939936865,1,1
Dominica,581212962.962963,67014.0,8674.16252044545,6.237047839686195,4.63190485081115,70.4565,95.0,16195555555.555565,43142962962.96292,0.0,2743,5267.346008326582,2,2
"Dominica, Ilha de",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383,527.0226323262534,1,2
Egito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,368.175284650359,1,4
El Salvador,7170369606.666667,4845421.0,1289.9056612587276,3.4409758493338227,8.545425024441434,59.0532,90.4,195981341333.33337,300145139333.3332,0.2165997601836475,12437,55457.76084075251,3,13
Emirados Arabes Unidos,346043025124.88885,7814409.346938776,43277.593357655955,3.128603958040533,1.3296458737682533,81.17689795918368,90.44897959183673,32283722758320.49,25202508376510.973,0.9077896874813943,7537718,25479469.426391482,4,24
Equador,87333519220.43164,16304793.214285715,5081.440279033134,1.1884575349239024,14.136015144497756,74.96028571428572,92.64285714285714,2451065595651.397,2381327774462.233,0.7611016627880096,97214,196380.73766209275,3,8
"Eslovaca, Republica",100830060552.902,5379233.0,18744.3192278346,5.36337695604814,4.59817976325028,74.7048780487805,95.0,8087021306090.905,8294281343351.537,0.0,585,23403.233614951954,1,1
Eslovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,72.6258611544082,1,2
