produto_texto,qtde_kg,PIB_total_(dolar_corrente),população_total,PIB_per_capita,taxa_crescimento_PIB,taxa_inflação_(CPI),expectativa_vida,taxa_alfabetização,exportacao_abs,importacao_abs,IDH_estimado,pais_cat,valor_dolar_ajustado,qtde_lag1,valor_ajustado_lag1,PIB_lag1,exportacao_abs_lag1,importacao_Abs_lag1,taxa_inflação_(CPI)_lag1
Espumantes,2,380699271814.508,63212384.0,6022.5425418935,0.698485194788034,6.0752438457966,66.139,90.0,12469624526916.809,12344390385297.896,0.7187508663110131,cat_B,45.29775321461625,0.0,0.0,406920004594.074,13579510405846.766,12781989119735.896,7.03987272546482
Uvas frescas,30,380699271814.508,63212384.0,6022.5425418935,0.698485194788034,6.0752438457966,66.139,90.0,12469624526916.809,12344390385297.896,0.7187508663110131,cat_B,140.01123720881387,44.0,184.22991294805863,380699271814.508,12469624526916.809,12344390385297.896,6.0752438457966
Vinhos de mesa,117,380699271814.508,63212384.0,6022.5425418935,0.698485194788034,6.0752438457966,66.139,90.0,12469624526916.809,12344390385297.896,0.7187508663110131,cat_B,718.5870850864123,4.0,25.45281692045547,380699271814.508,12469624526916.809,12344390385297.896,6.0752438457966
Uvas frescas,135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,797.776962962963,0.0,0.0,0.0,0.0,0.0,0.0
Suco de uva,9962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,48884.45325358852,0.0,0.0,0.0,0.0,0.0,0.0
Vinhos de mesa,4168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,19736.891626794262,0.0,0.0,0.0,0.0,0.0,0.0
Suco de uva,238418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1137327.5119594596,9962.0,48884.45325358852,0.0,0.0,0.0,0.0
Vinhos de mesa,12000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,58286.80743243243,4168.0,19736.891626794262,0.0,0.0,0.0,0.0
Uvas frescas,3840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,20952.898113590265,135.0,797.776962962963,0.0,0.0,0.0,0.0
Suco de uva,86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,396.4842379182156,238418.0,1137327.5119594596,0.0,0.0,0.0,0.0
Suco de uva,200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,703988.5148514851,86.0,396.4842379182156,0.0,0.0,0.0,0.0
Uvas frescas,360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1583.9741584158417,3840.0,20952.898113590265,0.0,0.0,0.0,0.0
Suco de uva,100000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,389705.6595092025,200000.0,703988.5148514851,0.0,0.0,0.0,0.0
Uvas frescas,11700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,57277.10958588958,360.0,1583.9741584158417,0.0,0.0,0.0,0.0
Suco de uva,100265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,469747.11710743804,100000.0,389705.6595092025,0.0,0.0,0.0,0.0
Uvas frescas,21500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,115105.71570247934,11700.0,57277.10958588958,0.0,0.0,0.0,0.0
Vinhos de mesa,5400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,28085.103305785124,12000.0,58286.80743243243,0.0,0.0,0.0,0.0
Suco de uva,72875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,353718.60964805825,100265.0,469747.11710743804,0.0,0.0,0.0,0.0
Uvas frescas,26075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,134288.5858616505,21500.0,115105.71570247934,0.0,0.0,0.0,0.0
Suco de uva,352920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,1507888.1840264027,72875.0,353718.60964805825,0.0,0.0,0.0,0.0
Uvas frescas,137426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,791338.3054785478,26075.0,134288.5858616505,0.0,0.0,0.0,0.0
Suco de uva,83200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,297500.69720207254,352920.0,1507888.1840264027,0.0,0.0,0.0,0.0
Uvas frescas,129799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,645799.5084248704,137426.0,791338.3054785478,0.0,0.0,0.0,0.0
Suco de uva,149990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,555059.4576506024,83200.0,297500.69720207254,0.0,0.0,0.0,0.0
Uvas frescas,95060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,284480.6487349398,129799.0,645799.5084248704,0.0,0.0,0.0,0.0
Suco de uva,300052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cat_A,838102.1332435034,149990.0,555059.4576506024,0.0,0.0,0.0,0.0
